!,,,,,,,,,,,,,,+++,,,,,
@@,prim_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,note,created,created_by,last_modified,last_modified_by
+++,PS00857,Silent Spring,,en,G80,PL0269,1962,,1979,,,,,,,2020-02-14,MG,2020-02-14,MG
+++,PS00857,寂静的春天,,zh,G80,PL0269,1962,,1979,,,,,,,2020-02-14,MG,2020-02-14,MG
+++,PS00858,Journal of Astrophysics,,en,G19,PL0999,19xx,unknown,,,,,,F,,2020-02-14,MG,2020-02-14,MG
+++,PS00860,Love of Life,,en,G04,PL0003,1953,Shao nian er tong chubanshe,,,,,,,,2020-05-16,MG,2020-05-16,MG
+++,PS00860,生命之爱,,zh,G04,PL0003,1953,Shao nian er tong chubanshe,,,,,,,,2020-05-16,MG,2020-05-16,MG
+++,PS00861,Short Song,,en,G10,,,,,,PS00862,,,,,2020-05-16,MG,2020-05-19,MG
+++,PS00861,短歌行,,zh,G10,,,,,,PS00862,,,,,2020-05-16,MG,2020-05-19,MG
+++,PS00862,Cao Cao ji,,en,G28,PL0002,1959,Zhonghua shuju,,,,,,,,2020-05-19,MG,2020-05-19,MG
+++,PS00862,曹操集,,zh,G28,PL0002,1959,Zhonghua shuju,,,,,,,,2020-05-19,MG,2020-05-19,MG
+++,PS00863,New Chinese Dictionary,,en,G57,PL0002,1953,Ren min jiao yu chu ban she,1953,,,,,,,2020-05-28,MG,2020-05-28,MG
+++,PS00863,新华字典,,zh,G57,PL0002,1953,Ren min jiao yu chu ban she,1953,,,,,,,2020-05-28,MG,2020-05-28,MG
+++,PS00863,Xinhua Zidian,,zh-Latn-pinyin,G57,PL0002,1953,Ren min jiao yu chu ban she,1953,,,,,,,2020-05-28,MG,2020-05-28,MG
+++,PS00864,Selected Works of Lenin,,en,G28,PL0093,1949,Dongbei shudian,,,,,,,,2020-06-18,MG,2020-06-18,MG
+++,PS00864,列宁选集,,zh,G28,PL0093,1949,Dongbei shudian,,,,,,,,2020-06-18,MG,2020-06-18,MG
+++,PS00865,Required Reading for Cadres,,en,G26,PL0002,1950,Jiefang she,,,,,,,,2020-06-18,MG,2020-06-18,MG
+++,PS00865,干部必读,,zh,G26,PL0002,1950,Jiefang she,,,,,,,,2020-06-18,MG,2020-06-18,MG
