!,...,,+++,...,,,,,,
@@,agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
,AG0134,P0154,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0157,en,NULL,,,2017-09-24,CW,2018-02-02,WH
,AG0135,P0157,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0158,en,NULL,,,2017-09-27,MG,2018-02-02,WH
,AG0136,P0158,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0159,en,NULL,,,2017-09-27,MG,2018-02-02,WH
+++,NULL,P0159,ru,NULL,,,2017-09-27,MG,2017-12-23,MG
,AG0137,P0159,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0160,en,NULL,,,2017-09-29,MG,2017-12-23,MG
,AG0138,P0160,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0161,en,NULL,,,2017-09-29,MG,2017-12-23,MG
+++,NULL,P0161,ru,NULL,,,2017-09-29,MG,2017-12-23,MG
,AG0139,P0161,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0162,en,NULL,,,2017-10-03,MG,2017-12-23,MG
,AG0140,P0162,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0163,en,NULL,,,2017-10-03,MG,2018-02-07,WH
,AG0141,P0163,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0164,en,NULL,,,2017-10-03,MG,2018-02-07,WH
,AG0142,P0164,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0166,en,NULL,,,2017-10-03,MG,2018-10-25,DP
,AG0143,P0166,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0167,en,NULL,,,2017-10-03,MG,2018-02-07,WH
,AG0144,P0167,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0168,en,NULL,,,2017-10-03,MG,2019-04-28,WH
,AG0145,P0168,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0169,en,NULL,,,2017-10-03,MG,2019-04-28,WH
,AG0146,P0169,zh,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0171,en,NULL,worked in the reference department of Jiangsu Provincial Song and Dance Troupe,,2017-10-03,MG,2019-04-28,WH
,AG0147,P0171,zh,en,worked in the reference department of Jiangsu Provincial Song and Dance Troupe,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0149,P0173,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0173,zh,NULL,,,2017-10-03,MG,2018-07-04,MG
+++,NULL,P0174,en,NULL,,,2017-10-03,MG,2017-12-23,MG
,AG0150,P0174,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0152,P0176,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0176,zh,NULL,,,2017-10-08,MG,2017-12-23,MG
,AG0153,P0177,it,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0177,zh,NULL,,,2017-10-08,MG,2017-12-23,MG
,AG0154,P0178,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0178,zh,NULL,,,2017-10-08,MG,2017-12-23,MG
,AG0155,P0179,en,en,,,2020-04-02,DP,2020-04-02,DP
