!,...,,...,,,,,,
@@,agent_id,old_id,language,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,P0154,NULL,,,2017-09-22,MG,2017-11-06,OS
,AG0134,P0154,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0157,NULL,,,2017-09-24,CW,2018-02-02,WH
,AG0135,P0157,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0158,NULL,,,2017-09-27,MG,2018-02-02,WH
,AG0136,P0158,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0159,NULL,,,2017-09-27,MG,2018-02-02,WH
+++,NULL,P0159,NULL,,,2017-09-27,MG,2017-12-23,MG
,AG0137,P0159,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0160,NULL,,,2017-09-29,MG,2017-12-23,MG
,AG0138,P0160,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0161,NULL,,,2017-09-29,MG,2017-12-23,MG
+++,NULL,P0161,NULL,,,2017-09-29,MG,2017-12-23,MG
,AG0139,P0161,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0162,NULL,,,2017-10-03,MG,2017-12-23,MG
,AG0140,P0162,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0163,NULL,,,2017-10-03,MG,2018-02-07,WH
,AG0141,P0163,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0164,NULL,,,2017-10-03,MG,2018-02-07,WH
,AG0142,P0164,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0166,NULL,,,2017-10-03,MG,2018-10-25,DP
,AG0143,P0166,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0167,NULL,,,2017-10-03,MG,2018-02-07,WH
,AG0144,P0167,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0168,NULL,,,2017-10-03,MG,2019-04-28,WH
,AG0145,P0168,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0169,NULL,,,2017-10-03,MG,2019-04-28,WH
,AG0146,P0169,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0171,NULL,worked in the reference department of Jiangsu Provincial Song and Dance Troupe,,2017-10-03,MG,2019-04-28,WH
,AG0147,P0171,en,worked in the reference department of Jiangsu Provincial Song and Dance Troupe,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...
,AG0149,P0173,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0173,NULL,,,2017-10-03,MG,2018-07-04,MG
+++,NULL,P0174,NULL,,,2017-10-03,MG,2017-12-23,MG
,AG0150,P0174,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...
,AG0152,P0176,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0176,NULL,,,2017-10-08,MG,2017-12-23,MG
,AG0153,P0177,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0177,NULL,,,2017-10-08,MG,2017-12-23,MG
,AG0154,P0178,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0178,NULL,,,2017-10-08,MG,2017-12-23,MG
,AG0155,P0179,en,,,2020-04-02,DP,2020-04-02,DP
