act_id,agent,action,act_object,act_target,start,end,narrative_time,substantial_discussion,source,page,source_status,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
A00610,AG0117,AT11,W0189,,1975..1979,1975..1979,NULL,NULL,W0430,454,NULL,NULL,,,2018-06-05,MG,2020-04-04,DP
A00611,AG0117,AT11,W0414,,1975..1979,1975..1979,NULL,NULL,W0430,454,NULL,NULL,unknown work by: AG0351,,2018-06-05,MG,2020-04-04,DP
A00612,AG0118,AT01,W0190,,1970..1979,1970..1979,NULL,NULL,W0476,531,NULL,NULL,,,2018-06-05,MG,2021-01-02,MG
A00613,AG0115,AT16,W0231,,1967~,1967~,NULL,NULL,W0471,417,NULL,NULL,,,2018-06-05,MG,2021-01-02,MG
A00614,AG0115,AT16,W0232,,1967~,1967~,NULL,NULL,W0471,417,NULL,NULL,,,2018-06-05,MG,2021-01-02,MG
A00615,AG0114,AT05,W0414,,196x..197x,196x..197x,NULL,NULL,W0429,52,NULL,NULL,unknown work by: AG0354,,2018-06-06,MG,2020-04-04,DP
A00616,AG0106,AT01,W0233,,1969~,1972~,NULL,NULL,W0425,301,NULL,NULL,,,2018-06-06,MG,2021-01-02,MG
A00617,AG0118,AT16,W0414,,1979~,1979~,NULL,NULL,W0476,536,NULL,NULL,unknown work by: AG0355 G10,,2018-06-06,MG,2020-04-04,DP
A00618,AG0359,AT01,W0234,,197x,197x,NULL,NULL,W0476,542,NULL,NULL,,,2018-06-11,MG,2020-04-04,DP
A00619,AG0118,AT23,W0234,,197x,197x,NULL,NULL,W0476,542,NULL,NULL,,,2018-06-11,MG,2020-04-04,DP
