agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
AG0330,P0368,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0331,P0369,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0332,P0370,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0333,P0371,NULL,fr,,,2020-04-02,DP,2020-04-02,DP
AG0334,P0372,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0335,P0373,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0336,P0374,NULL,de,,,2020-04-02,DP,2020-04-02,DP
AG0337,P0375,NULL,fr,,,2020-04-02,DP,2020-04-02,DP
AG0338,P0376,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0339,P0377,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0340,P0378,NULL,fr,,,2020-04-02,DP,2020-04-02,DP
AG0341,P0379,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0342,P0380,NULL,fr,,,2020-04-02,DP,2020-04-02,DP
AG0343,P0381,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0344,P0382,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0345,P0383,NULL,de,,,2020-04-02,DP,2020-04-02,DP
AG0346,P0384,NULL,fr,,,2020-04-02,DP,2020-04-02,DP
AG0347,P0385,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0348,P0386,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0349,P0387,NULL,en,,,2020-04-02,DP,2020-04-02,DP
