person_id,family_name,first_name,name_lang,sex,rustication,rustication_start,rustication_end,place_of_rust,birthyear,deathyear,alt_name,alt_name_lang,place_of_birth,social_position,neibu_access,source_id_1,page_number_1,source_id_2,page_number_2,commentary,note,created,created_by,last_modified,last_modified_by
P0045,傅,惟慈,zh,male,NULL,NULL,NULL,NULL,1923,2014,,,PL0019,,,SS00061,ONLINE SOURCE,https://baike.baidu.com/item/%E5%82%85%E6%83%9F%E6%85%88,,,,2017-07-05,LH,2018-03-13,WH
P0046,Xie,Shengxian,en,male,no,NULL,NULL,NULL,1945,,,,PL0006,,,SS00120,ONLINE SOURCE,,,,,2017-07-05,LH,2018-01-25,WH
P0046,谢,声显,zh,male,no,NULL,NULL,NULL,1945,,,,PL0006,,,SS00120,ONLINE SOURCE,,,,,2017-07-05,LH,2018-01-25,WH
P0047,Han,Pingzao,en,male,unknown,NULL,NULL,PL0012,,,,,,,,SS00150,ONLINE SOURCE,,,,,2017-07-05,LH,2018-01-25,WH
P0047,韩,平藻,zh,male,unknown,NULL,NULL,PL0012,,,,,,,,SS00150,ONLINE SOURCE,,,,,2017-07-05,LH,2018-01-25,WH
P0048,Hui,Xianjun,en,male,no,NULL,NULL,NULL,1932,,,,PL0192,,,SS00136,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E6%83%A0%E5%AE%AA%E9%92%A7,,Third source: http://www.hxzq.org.cn/forum.php?mod=viewthread&tid=28059,,2017-07-05,LH,2018-03-13,WH
P0048,惠,宪钧,zh,male,no,NULL,NULL,NULL,1932,,,,PL0192,,,SS00136,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E6%83%A0%E5%AE%AA%E9%92%A7,,Third source: http://www.hxzq.org.cn/forum.php?mod=viewthread&tid=28059,,2017-07-05,LH,2018-03-13,WH
P0049,Piao,Mu,en,male,yes,..1970,1971..,PL0013,,,,,,,,SS00130,ONLINE SOURCE,,,,,2017-07-05,LH,2018-03-13,WH
P0049,漂,木,zh,male,yes,..1970,1971..,PL0013,,,,,,,,SS00130,ONLINE SOURCE,,,,,2017-07-05,LH,2018-03-13,WH
P0050,Wu,Yunhong,en,male,unknown,NULL,NULL,NULL,1938,,,,,,,SS00137,ONLINE SOURCE,,,,,2017-07-05,LH,2018-02-07,WH
P0050,吴,允弘,zh,male,unknown,NULL,NULL,NULL,1938,,,,,,,SS00137,ONLINE SOURCE,,,,,2017-07-05,LH,2018-02-07,WH
P0051,Wu,Tianshi,en,male,NULL,NULL,NULL,NULL,1911,1966,,,PL0191,,,SS00137,ONLINE SOURCE,,,,,2017-07-05,LH,2018-03-13,WH
P0051,吴,天石,zh,male,NULL,NULL,NULL,NULL,1911,1966,,,PL0191,,,SS00137,ONLINE SOURCE,,,,,2017-07-05,LH,2018-03-13,WH
P0052,Liu,Haiou,en,female,no,NULL,NULL,NULL,1947,,,,PL0147,,,SS00133,ONLINE SOURCE,http://www.au123.com/user/53.jspx,,,,2017-07-05,LH,2018-01-26,WH
P0052,刘,海鸥,zh,female,no,NULL,NULL,NULL,1947,,,,PL0147,,,SS00133,ONLINE SOURCE,http://www.au123.com/user/53.jspx,,,,2017-07-05,LH,2018-01-26,WH
P0053,Huang,Yongsheng,en,male,NULL,NULL,NULL,NULL,1910,1983,Huang Xuqian,en,PL0015,,,SS00134,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E9%BB%84%E6%B0%B8%E8%83%9C,,,,2017-07-05,LH,2018-02-06,WH
P0053,黄,永胜,zh,male,NULL,NULL,NULL,NULL,1910,1983,黄叙钱,zh,PL0015,,,SS00134,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E9%BB%84%E6%B0%B8%E8%83%9C,,,,2017-07-05,LH,2018-02-06,WH
P0054,Xi,Liufang,en,male,unknown,NULL,NULL,NULL,1947,,,,,,,http://none,,,,,zugong tongxun 1980,2017-07-05,LH,2018-11-01,MG
P0054,奚,柳芳,zh,male,unknown,NULL,NULL,NULL,1947,,,,,,,http://none,,,,,zugong tongxun 1980,2017-07-05,LH,2018-11-01,MG
P0055,Hou,Wailu,en,male,NULL,NULL,NULL,NULL,1903,1987,,,PL0192,,,SS00131,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E4%BE%AF%E5%A4%96%E5%BA%90,,,,2017-07-05,LH,2018-03-13,WH
P0055,侯,外庐,zh,male,NULL,NULL,NULL,NULL,1903,1987,,,PL0192,,,SS00131,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E4%BE%AF%E5%A4%96%E5%BA%90,,,,2017-07-05,LH,2018-03-13,WH
P0056,Gu,Jiegang,en,male,NULL,NULL,NULL,NULL,1893,1980,,,PL0082,,,SS00131,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E9%A1%BE%E9%A2%89%E5%88%9A,,,,2017-07-05,LH,2018-03-13,WH
P0056,顾,颉刚,zh,male,NULL,NULL,NULL,NULL,1893,1980,,,PL0082,,,SS00131,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E9%A1%BE%E9%A2%89%E5%88%9A,,,,2017-07-05,LH,2018-03-13,WH
P0057,Xie,Guozhen,en,male,NULL,NULL,NULL,NULL,1901,1982,,,PL0193,,,SS00131,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E8%B0%A2%E5%9B%BD%E6%A1%A2,,,,2017-07-05,LH,2018-03-13,WH
P0057,谢,国桢,zh,male,NULL,NULL,NULL,NULL,1901,1982,,,PL0193,,,SS00131,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E8%B0%A2%E5%9B%BD%E6%A1%A2,,,,2017-07-05,LH,2018-03-13,WH
P0058,Qi,Zhi,en,male,unknown,NULL,NULL,PL0002,1953,,,,,,,SS00027,ONLINE SOURCE,http://qizhi.shufa.com/,,,,2017-07-05,LH,2018-09-20,WH
P0058,启,之,zh,male,unknown,NULL,NULL,PL0002,1953,,,,,,,SS00027,ONLINE SOURCE,http://qizhi.shufa.com/,,,,2017-07-05,LH,2018-09-20,WH
P0059,Bai,Hua,en,male,no,NULL,NULL,NULL,1930,,,,PL0148,,,SS00117,ONLINE SOURCE,http://www.baike.com/wiki/%E7%99%BD%E6%A1%A6,,,Third source: http://www.sohu.com/a/195608538_282764,2017-07-05,LH,2018-02-07,WH
P0059,白,桦,zh,male,no,NULL,NULL,NULL,1930,,,,PL0148,,,SS00117,ONLINE SOURCE,http://www.baike.com/wiki/%E7%99%BD%E6%A1%A6,,,Third source: http://www.sohu.com/a/195608538_282764,2017-07-05,LH,2018-02-07,WH
